Species,D1C1,D1C2,D1C3,D1C4,D1C5,GES
Alepocephalus bairdii Baird's smoothhead,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Alopias vulpinus Common thresher shark,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Alosa fallax Twaite  shad,ges_u,ges_na,ges_nt,ges_na,ges_na,ges_na
Anarhichas denticulatus Wolffish,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Anguilla anguilla European eel,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Antimora rostrata antimora,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Aphanopus carbo,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Apristurus spp. Deep sea catcharks,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Beryx spp. Alfonsino,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Cataetyx laticeps,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Centrophorus squamosus Leafscale gulper shark,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Centroscyllium fabricii Black dogfish,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Centroscymnus coelolepis Portuguese dogfish,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Centroselachus crepidater Longnose velvet dogfish,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Cetorhinus maximus Basking shark,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Chimaera spp. Rabbitfish,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Coryphaenoides rupestris Roundnose grenadier,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Dalatias licha Kitefin shark,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Deania calcea Birdbeak dogfish,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Dipturus batis Common skate complex ,ges_na,ges_na,ges_nt,ges_nt,ges_nt,"Endangered with extinction, ineligible for GES"
Dipturus nidarosiensis Norwegian skate,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Epigonus telescopus Bigeye,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Etmopterus princeps Deepwater lanternshark,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Etmopterus spinax Velvetbelly lanternshark,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Gadus morhua cod ,ges_na,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Galeorhinus galeus Tope shark,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Galeus melastomus Blackmouth catshark,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Galeus murinus Mouse catshark,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Helicolenus dactylopterus Blackbelly rosefish,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Hexanchus griseus Sixges_ntgill shark,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Hippoglossus hippoglossus Halibut,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Hoplostethus atlanticus Orange roughy,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Hydrolagus mirabilis Largeges_nteyed rabbitfish,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Isurus oxyrinchus Shortfin mako shark,ges_na,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Lamna nasus Porbeagle shark,ges_na,ges_na,ges_nt,ges_nt,ges_nt,"Endangered with extinction, ineligible for GES"
Lampetra fluviatilis River lamprey,ges_u,ges_u,ges_nt,ges_u,ges_a,ges_a
Leucoraja circularis Sandy ray,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Molva dypterygia Blue ling,ges_a,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Mora moro Mora,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Mustelus asterias Starry moothhound,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Notocanthus chemnitzii Snubges_ntnose spiny eel,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Oxynotus paradoxus Sailfin roughshark,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Petromyzon marinus Sea lamprey,ges_u,ges_na,ges_nt,ges_a,ges_na,ges_na
Raja clavata Thornback ray,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Raja montagui Spotted ray,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Raja undulata Undulate ray,ges_u,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Rajella fyllae Deepwater ray,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Rhinochimaera atlantica Straightnose rabbitfish,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Rostroraja alba White skate,ges_u,ges_na,ges_nt,ges_nt,ges_nt,"Endangered with extinction, ineligible for GES"
Salmo salar Atlantic salmon,ges_u,ges_na,ges_nt,ges_a,ges_a,ges_na
Scophthalmus maximus Turbot,ges_u,ges_a,ges_nt,ges_nt,ges_nt,ges_a
Scymnodon ringens Knitefooth shark,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Squalus acanthias Spurdog,ges_a,ges_na,ges_nt,ges_nt,ges_nt,ges_na
Squatina squatina Angel shark,ges_u,ges_na,ges_nt,ges_nt,ges_nt,"Endangered with extinction, ineligible for GES"
Thunnus thynnus Bluefin tuna,ges_a,ges_u,ges_nt,ges_nt,ges_nt,ges_u
Trachyscorpia cristulata Spiny scorpionfish,ges_u,ges_u,ges_nt,ges_nt,ges_nt,ges_u
