Species,Latin_Name,Common_Name,D1C1,D1C1_Colour,D1C2,D1C2_Colour,D1C3,D1C3_Colour,D1C4,D1C4_Colour,D1C5,D1C5_Colour,GES,GES_Colour
Alepocephalus bairdii Baird's smoothhead,Alepocephalus bairdii,Baird's smoothhead ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Alopias vulpinus Common thresher shark,Alopias vulpinus,Common thresher shark,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Alosa fallax Twaite  shad,Alosa fallax,Twaite shad ,Unknown,0.3,GES Not Achieved,0.5, ,0,GES Not Achieved,0.5,GES Not Achieved,0.5,GES Not Achieved,0.5
Anarhichas denticulatus Wolffish,Anarhichas denticulatus,Wolffish  ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Anguilla anguilla European eel,Anguilla anguilla,European eel ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Antimora rostrata antimora,Antimora rostrata,Antimora  ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Aphanopus carbo,Aphanopus carbo,Black scabbardfish,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Apristurus spp. Deep sea catcharks,Apristurus spp.,Deep sea catcharks ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Beryx spp. Alfonsino,Beryx spp. Alfonsino,Red bream,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Cataetyx laticeps,Cataetyx laticeps,Cataetyx laticeps,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Centrophorus squamosus Leafscale gulper shark,Centrophorus squamosus,Leafscale gulper shark,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Centroscyllium fabricii Black dogfish,Centroscyllium fabricii,Black dogfish ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Centroscymnus coelolepis Portuguese dogfish,Centroscymnus coelolepis,Portuguese dogfish ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Centroselachus crepidater Longnose velvet dogfish,Centroselachus crepidater,Longnose velvet dogfish,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Cetorhinus maximus Basking shark,Cetorhinus maximus,Basking shark ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Chimaera spp. Rabbitfish,Chimaera spp.,Rabbitfish  ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Coryphaenoides rupestris Roundnose grenadier,Coryphaenoides rupestris,Roundnose grenadier ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Dalatias licha Kitefin shark,Dalatias licha,Kitefin shark ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Deania calcea Birdbeak dogfish,Deania calcea,Birdbeak dogfish ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Dipturus batis Common skate complex ,Dipturus batis,Common skate complex,GES Not Achieved,0.5,GES Not Achieved,0.5, ,0, ,0, ,0,"Endangered with extinction, ineligible for GES",0.1
Dipturus nidarosiensis Norwegian skate,Dipturus nidarosiensis,Norwegian skate ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Epigonus telescopus Bigeye,Epigonus telescopus,Bigeye  ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Etmopterus princeps Deepwater lanternshark,Etmopterus princeps,Deepwater lanternshark ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Etmopterus spinax Velvetbelly lanternshark,Etmopterus spinax,Velvetbelly lanternshark ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Gadus morhua cod ,Gadus morhua,Cod,GES Not Achieved,0.5,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Galeorhinus galeus Tope shark,Galeorhinus galeus,Tope shark ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Galeus melastomus Blackmouth catshark,Galeus melastomus,Blackmouth catshark ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Galeus murinus Mouse catshark,Galeus murinus,Mouse catshark ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Helicolenus dactylopterus Blackbelly rosefish,Helicolenus dactylopterus,Blackbelly rosefish ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Hexanchus griseus Six gill shark,Hexanchus griseus,Six-gill shark ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Hippoglossus hippoglossus Halibut,Hippoglossus hippoglossus,Halibut  ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Hoplostethus atlanticus Orange roughy,Hoplostethus atlanticus,Orange roughy ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Hydrolagus mirabilis Large eyed rabbitfish,Hydrolagus mirabilis,Large-eyed rabbitfish ,Unknown,0.3,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Isurus oxyrinchus Shortfin mako shark,Isurus oxyrinchus,Shortfin mako shark,GES Not Achieved,0.5,GES Not Achieved,0.5, ,0, ,0, ,0,GES Not Achieved,0.5
Lamna nasus Porbeagle shark,Lamna nasus,Porbeagle shark ,GES Not Achieved,0.5,GES Not Achieved,0.5, ,0, ,0, ,0,"Endangered with extinction, ineligible for GES",0.1
Lampetra fluviatilis River lamprey,Lampetra fluviatilis,River lamprey ,Unknown,0.3,Unknown,0.3, ,0,Unknown,0.3,GES Achieved,1,GES Achieved,1
Leucoraja circularis Sandy ray,Leucoraja circularis,Sandy ray ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Molva dypterygia Blue ling,Molva dypterygia,Blue ling ,GES Achieved,1,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Mora moro Mora,Mora moro,Mora  ,Unknown,0.3,GES Achieved,1, ,0, ,0, ,0,GES Achieved,1
Mustelus asterias Starry moothhound,Mustelus asterias,Starry moothhound ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Notocanthus chemnitzii Snub nose spiny eel,Notocanthus chemnitzii,Snub-nose spiny eel,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Oxynotus paradoxus Sailfin roughshark,Oxynotus paradoxus,Sailfin roughshark ,Unknown,0.3,Unknown,0.3, ,0, ,0, ,0,Unknown,0.3
Petromyzon marinus Sea lamprey,Petromyzon marinus,Sea lamprey ,Unknown,0.3,GES Not Achieved,0.5, ,0,GES Achieved,1,GES Not Achieved,0.5,GES Not Achieved,0.5
